	FIMM.ID	DRUG.NAME	Mechanism.Targets	Putative.Target.Protein	Class.explained	High.phase.Approval.status	Res_code	Alias	Activity.modifier	Active_inactive.in.clinic	Solvent	High.conc.(nM)	InChI	ChEMBL.ID	Drug_class
FIMM100372...Valproic_acid	FIMM100372	Valproic_acid	HDAC inhibitor	HDAC2;HDAC9	E.Differentiating.epigenetic modifier	Approved	NA	NA	NA	NA	AQ	1000000	AEQFSUDEHCCHBT-UHFFFAOYSA-M	CHEMBL109,CHEMBL433,CHEMBL2105613,CHEMBL2315212	Differentiating.epigenetic modifier
FIMM100373...Tivantinib	FIMM100373	Tivantinib	MET inhibitor	MET	B.Kinase inhibitor	Investigational (Ph 2)	ARQ-197	NA	NA	NA	DMSO	1000	UCEQXRCJXIVODC-PMACEKPBSA-N	CHEMBL2103882	Kinase inhibitor
FIMM100374...Niraparib	FIMM100374	Niraparib	PARP inhibitor	PARP1	E.Differentiating.epigenetic modifier	Approved (US)	MK-4827	NA	NA	NA	DMSO	10000	PCHKPVIQAHNQLW-UHFFFAOYSA-N	CHEMBL1094636	Differentiating.epigenetic modifier
FIMM100375...Volasertib	FIMM100375	Volasertib	PLK1 inhibitor	PLK1	B.Kinase inhibitor	Investigational (Ph 3)	BI 6727	NA	NA	NA	DMSO	1000	SXNJFOWDRLKDSF-STROYTFGSA-N	CHEMBL1233528,CHEMBL2105742	Kinase inhibitor
FIMM100376...Toremifene	FIMM100376	Toremifene	Selective estrogen receptor modulator	ESR1;SHBG	F.Hormone therapy	Approved	FC 1157a	NA	NA	NA	DMSO	10000	IWEQQRMGNVVKQW-OQKDUQJOSA-N	CHEMBL1200675,CHEMBL1655	Hormone therapy
FIMM100377...Lasofoxifene	FIMM100377	Lasofoxifene	Selective estrogen receptor modulator	ESR1;ESR2;CNR2	F.Hormone therapy	Approved	NA	NA	NA	NA	DMSO	1000	GXESHMAMLJKROZ-IAPPQJPRSA-N	CHEMBL328190,CHEMBL2113354	Hormone therapy
FIMM100378...Galiellalactone	FIMM100378	Galiellalactone	STAT3-DNA interaction inhibitor	STAT3	X.Other	Probe	NA	NA	NA	inactive	DMSO	25000	SOIISBQQYAGDKM-VFYMIVFZSA-N	CHEMBL1993987	Other
FIMM100379...Omacetaxine	FIMM100379	Omacetaxine	Protein synthesis inhib (80 S ribosome)	RPL3	A.Conv.Chemo	Approved	NA	Homoharringtonine	NA	NA	DMSO	10000	HYFHYPWGAURHIV-JFIAXGOJSA-N	CHEMBL46286	Conv.Chemo
FIMM100380...NVP_RAF265	FIMM100380	NVP-RAF265	C-Raf inhibitor, unclear MoA	RAF1;BRAF;KDR	B.Kinase inhibitor	Investigational (Ph 2)	NVP-RAF265	RAF265, CHIR-265	NA	Inactive	DMSO	1000	YABJJWZLRMPFSI-UHFFFAOYSA-N	CHEMBL558752	Kinase inhibitor
FIMM100382...Neratinib	FIMM100382	Neratinib	HER2, EGFR inhibitor	EGFR;ERBB2;KDR;SRC	B.Kinase inhibitor	Approved (US)	HKI-272	NA	Irreversible	NA	DMSO	1000	JWNPDZNEKVCWMY-VQHVLOKHSA-N	CHEMBL180022	Kinase inhibitor
FIMM100383...Mocetinostat	FIMM100383	Mocetinostat	HDAC inhibitor (HDAC1 and 2-selective)	HDAC1;HDAC2;HDAC3;HDAC11	E.Differentiating.epigenetic modifier	Investigational (Ph 2)	MGCD0103	NA	NA	NA	DMSO	10000	HRNLUBSXIHFDHP-UHFFFAOYSA-N	CHEMBL272980,CHEMBL481122	Differentiating.epigenetic modifier
FIMM100384...Rabusertib	FIMM100384	Rabusertib	CHEK1 inhibitor	CHEK1	B.Kinase inhibitor	Investigational (Ph 2)	LY2603618	IC-83	NA	Inactive	DMSO	1000	SYYBDNPGDKKJDU-ZDUSSCGKSA-N	CHEMBL3039517	Kinase inhibitor
FIMM100385...Galunisertib	FIMM100385	Galunisertib	TGF-B, Smad inhibitor	TGFB1	B.Kinase inhibitor	Investigational (Ph 2)	LY2157299	NA	NA	NA	DMSO	1000	IVRXNBXKWIJUQB-UHFFFAOYSA-N	CHEMBL2364611	Kinase inhibitor
FIMM100386...Linifanib	FIMM100386	Linifanib	VEGFR, PDGFR, CSF-1R, FLT3 inhibitor	KDR;FLT1;FLT3;KIT;FLT4;PDGFRB;TEK;CSF1R	B.Kinase inhibitor	Investigational (Ph 3)	ABT-869	AL-39324, RG3635	NA	NA	DMSO	1000	MPVGZUGXCQEXTM-UHFFFAOYSA-N	CHEMBL223360	Kinase inhibitor
FIMM100387...Brivanib	FIMM100387	Brivanib	VEGFR inhibitor	FLT1;KDR;FGFR1	B.Kinase inhibitor	Investigational (Ph 3)	BMS-540215	BMS-582664	NA	NA	DMSO	1000	WCWUXEGQKLTGDX-LLVKDONJSA-N	CHEMBL377300	Kinase inhibitor
FIMM100388...Buparlisib	FIMM100388	Buparlisib	PI3K inhibitor, pan-class I	PIK3CA;PIK3CB;PIK3CG;PIK3CD;MTOR;PIK3C3	B.Kinase inhibitor	Investigational (Ph 2)	NVP-BKM120	BKM-120	NA	NA	DMSO	10000	CWHUFRVAEUJCEF-UHFFFAOYSA-N	CHEMBL2017974,CHEMBL2364604	Kinase inhibitor
FIMM100389...Nintedanib	FIMM100389	Nintedanib	VEGFR, PDGFR, FGFR inhibitor	FGFR1;FGFR2;FLT1;FLT4;KDR;PDGFRA;PDGFRB	B.Kinase inhibitor	Approved	BIBF 1120	Indetanib	NA	NA	DMSO	10000	XZXHXSATPCNXJR-ZIADKAODSA-N	CHEMBL502835	Kinase inhibitor
FIMM100391...AZD4547	FIMM100391	AZD4547	FGFR inhibitor	FGFR1;FGFR2;FGFR3;KDR	B.Kinase inhibitor	Investigational (Ph 2)	AZD4547	NA	NA	NA	DMSO	1000	VRQMAABPASPXMW-HDICACEKSA-N	not in ChEMBL	Kinase inhibitor
FIMM100392...VER_155008	FIMM100392	VER-155008	HSP70 inhibitor	HSPA1A;HSPA1B;HSPA8;HSPA5	K.HSP inhibitor	Probe	VER 155008	NA	NA	Inactive	DMSO	10000	ZXGGCBQORXDVTE-UMCMBGNQSA-N	CHEMBL470334	HSP inhibitor
FIMM100393...Daporinad	FIMM100393	Daporinad	NAMPT inhibitor	NAMPT	H.Metabolic modifier	Investigational (Ph 2)	FK-866	DGB, APO866	NA	Inactive	DMSO	1000	KPBNHDGDUADAGP-VAWYXSNFSA-N	CHEMBL566757	Metabolic modifier
FIMM100395...Cabozantinib	FIMM100395	Cabozantinib	VEGFR2, Met, FLT3, Tie2, Kit and Ret inhibitor	KDR;MET;FLT3;KIT;RET;TEK	B.Kinase inhibitor	Approved	BMS-907351	XL184	NA	NA	DMSO	1000	ONIQOQHATWINJY-UHFFFAOYSA-N	CHEMBL2105717,CHEMBL2103868	Kinase inhibitor
FIMM100396...AZD1480	FIMM100396	AZD1480	JAK1 and 2, FGFR inhibitor	JAK1;JAK2;FGFR1;FGFR2;RET	B.Kinase inhibitor	Investigational (Ph 1)	AZD1480	NA	NA	Inactive	DMSO	1000	PDOQBOJDRPLBQU-UHFFFAOYSA-N	CHEMBL1231124	Kinase inhibitor
FIMM100397...Ridaforolimus	FIMM100397	Ridaforolimus	binds FKBP12, causes inhibition of mTORC1	FKBP1A	C.Rapalog	Investigational (Ph 3)	MK-8669	AP 23573, Deforolimus	NA	NA	DMSO	100	BUROJSBIWGDYCN-GAUTUEMISA-N	CHEMBL2103839	Rapalog
FIMM100398...Sonolisib	FIMM100398	Sonolisib	PI3K inhibitor, pan-class I, Irreversible	PIK3CA;PIK3CB;PIK3CG;PIK3CD	B.Kinase inhibitor	Investigational (Ph 2)	PX-866	DJM-166	NA	NA	DMSO	10000	QIUASFSNWYMDFS-NILGECQDSA-N	CHEMBL411907	Kinase inhibitor
FIMM100399...Quisinostat	FIMM100399	Quisinostat	HDAC inhibitor	HDAC1;HDAC2;HDAC4;HDAC10;HDAC11	E.Differentiating.epigenetic modifier	Investigational (Ph 2)	JNJ-26481585	NA	NA	NA	DMSO	1000	PAWIYAYFNXQGAP-UHFFFAOYSA-N	CHEMBL2105763	Differentiating.epigenetic modifier
FIMM100402...Tosedostat	FIMM100402	Tosedostat	Aminopeptidase inhibitor	ANPEP	L.Protease.proteasome inhibitor	Investigational (Ph 3)	CHR 2797	NA	NA	NA	DMSO	10000	FWFGIHPGRQZWIW-SQNIBIBYSA-N	CHEMBL2103847	Protease.proteasome inhibitor
FIMM100403...PF_04708671	FIMM100403	PF-04708671	p70S6K inhibitor	RPS6KB1	B.Kinase inhibitor	Probe	PF-04708671	NA	NA	Inactive	DMSO	10000	FBLPQCAQRNSVHB-UHFFFAOYSA-N	CHEMBL2134202	Kinase inhibitor
FIMM100407...Binimetinib	FIMM100407	Binimetinib	MEK1 and 2 inhibitor	MAP2K1	B.Kinase inhibitor	Investigational (Ph 2)	NVP-MEK162	MEK162, ARRY-438162, ARRY-162	NA	NA	DMSO	1000	ACWZRVQXLIRSDF-UHFFFAOYSA-N	CHEMBL3187723	Kinase inhibitor
FIMM100408...Tamatinib	FIMM100408	Tamatinib	SYK inhibitor	SYK	B.Kinase inhibitor	Investigational (Ph 1)	R406	NA	Active metabolite of Fostamatinib	Inactive	DMSO	10000	NHHQJBCNYHBUSI-UHFFFAOYSA-N	CHEMBL475251	Kinase inhibitor
FIMM100410...PF_3845	FIMM100410	PF-3845	FAAH inhibitor	FAAH	X.Other	Probe	PF-3845	NA	NA	Inactive	DMSO	10000	NBOJHRYUGLRASX-UHFFFAOYSA-N	CHEMBL1651524	Other
FIMM100411...MK_0752	FIMM100411	MK-0752	Gamma-secretase, notch inhibitor	APP;PSEN1;NCSTN;APH1A;APH1B;PSENEN;APH1B;APH1A;NOTCH1;NOTCH2;NOTCH3	X.Other	Investigational (Ph 2)	MK-0752	NA	NA	NA	DMSO	1000	XCGJIFAKUZNNOR-QCKZDCLWSA-N	CHEMBL2139979	Other
FIMM100413...SB743921	FIMM100413	SB743921	Mitotic inhibitor, Eg5, KSP inhibitor	KIF11	I.Kinesin inhibitor	Investigational (Ph 2)	SB 743921	NA	NA	Inactive	DMSO	100	PGXYIBJJCLWJST-MUUNZHRXSA-N	CHEMBL2325429	Kinesin inhibitor
FIMM100414...Omipalisib	FIMM100414	Omipalisib	PI3K, mTOR inhibitor	PIK3CA;PIK3CB;PIK3CD;PIK3CG;MTOR	B.Kinase inhibitor	Investigational (Ph 1)	GSK2126458	NA	NA	NA	DMSO	1000	CGBJSGAELGCMKE-UHFFFAOYSA-N	CHEMBL1236962	Kinase inhibitor
FIMM100415...Ibrutinib	FIMM100415	Ibrutinib	BTK inhibitor	BTK;BLK;EGFR;FYN;LYN;LCK;BRAF;WNK1	B.Kinase inhibitor	Approved	PCI-32765	CRA-032765	Irreversible	NA	DMSO	1000	XYFPWWZEPKGCCK-GOSISDBHSA-N	CHEMBL1873475	Kinase inhibitor
FIMM100416...TAK_901	FIMM100416	TAK-901	Aurora, Src family, JAK3, RTK inhibitor	AURKA;AURKB;JAK3;SRC;CLK2;FGR;LRRK2;YES1;LCK;FYN;ABL1;AXL;ABL2;HCK;RET;FRK;NTRK1;FGFR2	B.Kinase inhibitor	Investigational (Ph 1)	TAK-901	NA	NA	NA	DMSO	1000	WKDACQVEJIVHMZ-UHFFFAOYSA-N	not in ChEMBL	Kinase inhibitor
FIMM100417...Fostamatinib	FIMM100417	Fostamatinib	SYK inhibitor	SYK	B.Kinase inhibitor	Investigational (Ph 2)	R935788	NA	Prodrug, active substance of Fostamatinib	NA	AQ	2500	GKDRMWXFWHEQQT-UHFFFAOYSA-L	CHEMBL2103830	Kinase inhibitor
FIMM100418...JQ1	FIMM100418	JQ1	BET family inhibitor	BRD2;BRD3;BRD4	E.Differentiating.epigenetic modifier	Probe	JQ1	(+)JQ1, SGCBD01(+)	NA	Inactive	DMSO	10000	DNVXATUJJDPFDM-KRWDZBQOSA-N	CHEMBL1957266	Differentiating.epigenetic modifier
FIMM109440...Infigratinib	FIMM109440	Infigratinib	FGFR inhibitor	FGFR1;FGFR2;FGFR3	B.Kinase inhibitor	Investigational (Ph 1)	NVP-BGJ398	BGJ398	NA	NA	DMSO	1000	QADPYRIHXKWUSV-UHFFFAOYSA-N	CHEMBL1852688,CHEMBL1834657	Kinase inhibitor
FIMM109441...Momelotinib	FIMM109441	Momelotinib	JAK1 and 2 inhibitor	JAK1;JAK2	B.Kinase inhibitor	Investigational (Ph 2)	CYT-387	CYT1138	NA	NA	DMSO	10000	ZVHNDZWQTBEVRY-UHFFFAOYSA-N	CHEMBL1078178,CHEMBL2219411	Kinase inhibitor
FIMM109442...Sapanisertib	FIMM109442	Sapanisertib	mTOR inhibitor	PIK3CA;PIK3CB;PIK3CD;PIK3CG;MTOR	B.Kinase inhibitor	Investigational (Ph 1)	MLN-0128	INK128	NA	NA	DMSO	1000	KMGZJEWJXAGHOP-UHFFFAOYSA-N	not in ChEMBL	Kinase inhibitor
FIMM109444...TGX_221	FIMM109444	TGX-221	PI3K beta selective inhibitor	PIK3CB	B.Kinase inhibitor	Probe	TGX-221	NA	NA	Inactive	DMSO	10000	CPRAGQJXBLMUEL-UHFFFAOYSA-N	CHEMBL1972466	Kinase inhibitor
FIMM109445...Tubacin	FIMM109445	Tubacin	HDAC6 inhibitor	HDAC6	E.Differentiating.epigenetic modifier	Probe	NA	Tubacin	NA	Inactive	DMSO	10000	BHUZLJOUHMBZQY-YXQOSMAKSA-N	CHEMBL356769	Differentiating.epigenetic modifier
FIMM109446...Tubastatin_A	FIMM109446	Tubastatin_A	HDAC6 inhibitor	HDAC6	E.Differentiating.epigenetic modifier	Probe	NA	Tubastatin A	NA	Inactive	DMSO	10000	GOVYBPLHWIEHEJ-UHFFFAOYSA-N	CHEMBL2018302	Differentiating.epigenetic modifier
FIMM109447...Atorvastatin	FIMM109447	Atorvastatin	HMG CoA reductase inhibitor	HMGCR	H.Metabolic modifier	Approved	NA	NA	NA	NA	DMSO	10000	XUKUURHRXDUEBC-KAYWLYCHSA-M	CHEMBL1487,CHEMBL393220	Metabolic modifier
FIMM109448...Varespladib	FIMM109448	Varespladib	Secretory phospholipase A2 inhibitor	PLA2G2A;PLA2R1;PLA2G10;PLA2G3;PLA2G2D;PLA2G12A;PLA2G12B;PLA2G2E;PLA2G2F;PLA2G2C	X.Other	Investigational (Ph 2)	LY315920	A-002	NA	Inactive	DMSO	10000	BHLXTPHDSZUFHR-UHFFFAOYSA-N	CHEMBL148674,CHEMBL2107809	Other
FIMM109449...StemRegenin_1	FIMM109449	StemRegenin_1	aryl hydrocarbon receptor (AHR) antagonist, stem cell regenerating	AHR	E.Differentiating.epigenetic modifier	Probe	NA	StemRegenin 1, SR1	NA	Inactive	DMSO	10000	BGFHMYJZJZLMHW-UHFFFAOYSA-N	not in ChEMBL	Differentiating.epigenetic modifier
FIMM109451...PFI_1	FIMM109451	PFI-1	BET family inhibitor	BRD2;BRD3;BRD4	E.Differentiating.epigenetic modifier	Probe	PFI-1	NA	NA	Inactive	DMSO	30000	TXZPMHLMPKIUGK-UHFFFAOYSA-N	CHEMBL2179387	Differentiating.epigenetic modifier
FIMM109453...4_hydroxytamoxifen	FIMM109453	4-hydroxytamoxifen	Selective estrogen receptor modulator	ESR1;ESR2;ESRRG;TFF1;ESRRA;NR1I2	F.Hormone therapy	Investigational as a gel preparation	NA	NA	Most active metabolite of tamoxifen	NA	DMSO	10000	DODQJNMQWMSYGS-QPLCGJKRSA-N	CHEMBL489	Hormone therapy
FIMM109456...Enzalutamide	FIMM109456	Enzalutamide	AR antagonist	AR	F.Hormone therapy	Approved	MDV3100	NA	NA	NA	DMSO	10000	WXCXUHSOUPDCQV-UHFFFAOYSA-N	CHEMBL1082407	Hormone therapy
FIMM109458...1_methyl_D_tryptophan	FIMM109458	1-methyl-D-tryptophan	Indolamine 2,3-dioxygenase 1 and 2 inhibitor	IDO1	X.Other	Investigational (Ph 2)	NA	1-methyl-D-tryptophan	NA	NA	AQ	5000	ZADWXFSZEAPBJS-SNVBAGLBSA-N	CHEMBL571209	Other
FIMM109459...Dacomitinib	FIMM109459	Dacomitinib	Pan-HER inhibitor	EGFR;ERBB2;ERBB4	B.Kinase inhibitor	Investigational (Ph 3)	PF-00299804	NA	NA	NA	DMSO	1000	BSPLGGCPNTZPIH-IPZCTEOASA-N	CHEMBL2105719,CHEMBL2110732	Kinase inhibitor
FIMM109460...Dinaciclib	FIMM109460	Dinaciclib	CDK inhibitor	CDK1;CDK2;CDK5;CDK9	B.Kinase inhibitor	Investigational (Ph 3)	SCH727965	NA	NA	NA	DMSO	1000	PIMQWRZWLQKKBJ-SFHVURJKSA-N	CHEMBL2103840	Kinase inhibitor
FIMM109461...Dabrafenib	FIMM109461	Dabrafenib	BRAF(V600E) inhibitor	BRAF;RAF1	B.Kinase inhibitor	Approved	GSK2118436B	NA	NA	NA	DMSO	2500	BFSMGDJOXZAERB-UHFFFAOYSA-N	CHEMBL2028663,CHEMBL2105729	Kinase inhibitor
FIMM109462...I_BET151	FIMM109462	I-BET151	BET family inhibitor	BRD2;BRD3;BRD4	E.Differentiating.epigenetic modifier	Probe	I-BET151	GSK1210151A	NA	Inactive	DMSO	10000	VUVUVNZRUGEAHB-CYBMUJFWSA-N	CHEMBL2017291	Differentiating.epigenetic modifier
FIMM109463...Ralimetinib	FIMM109463	Ralimetinib	p38MAPK inhibitor	MAPK14	B.Kinase inhibitor	Investigational (Ph 2)	LY2228820	CP868569	NA	NA	DMSO	10000	NARMJPIBAXVUIE-UHFFFAOYSA-N	CHEMBL2364626,CHEMBL2364627	Kinase inhibitor
FIMM109464...Crenolanib	FIMM109464	Crenolanib	PDGFRA and PDGFRB inhibitor	PDGFRA	B.Kinase inhibitor	Investigational (Ph 2)	CP-868596	NA	NA	NA	DMSO	10000	DYNHJHQFHQTFTP-UHFFFAOYSA-N	CHEMBL2105728,CHEMBL2146086	Kinase inhibitor
FIMM109465...PF_4800567	FIMM109465	PF-4800567	CK1epsilon inhibitor	CSNK1E	B.Kinase inhibitor	Probe	PF-4800567	NA	NA	Inactive	DMSO	10000	AUMDBEHGJRZSOO-UHFFFAOYSA-N	CHEMBL2069623	Kinase inhibitor
FIMM109467...PF_670462	FIMM109467	PF-670462	CK1epsilon and CK1delta inhibitor	CSNK1D;CSNK1E	B.Kinase inhibitor	Probe	PF-670462	NA	NA	Inactive	DMSO	10000	WUDBUIUHVNECTM-UHFFFAOYSA-N	CHEMBL1951415	Kinase inhibitor
FIMM109468...ZSTK474	FIMM109468	ZSTK474	PI3K gamma selective inhibitor	PIK3CG	B.Kinase inhibitor	Investigational (Ph 1)	ZSTK474	NA	NA	NA	DMSO	10000	HGVNLRPZOWWDKD-UHFFFAOYSA-N	CHEMBL586702	Kinase inhibitor
FIMM115468...PAC_1	FIMM115468	PAC-1	procaspase-3 activator	CASP3	G.Apoptotic modulator	Investigational (Ph 1)	PAC-1	NA	NA	NA	DMSO	10000	YQNRVGJCPCNMKT-LFVJCYFKSA-N	CHEMBL591429	Apoptotic modulator
FIMM115469...Vistusertib	FIMM115469	Vistusertib	mTOR inhibitor, ATP-competitive	MTOR	B.Kinase inhibitor	Investigational (Ph 2)	AZD2014	NA	NA	NA	DMSO	10000	JUSFANSTBFGBAF-IRXDYDNUSA-N	CHEMBL2325741,CHEMBL2336325	Kinase inhibitor
FIMM115470...Devimistat_CPI_613	FIMM115470	Devimistat_CPI-613	pyruvate dehydrogenase, alpha-ketoglutarate dehydrogenase inhibitor	PDHA1;PDHB;PDHX;OGDH	H.Metabolic modifier	Investigational (Ph 2)	CPI-613	NA	NA	NA	DMSO	10000	ZYRLHJIMTROTBO-UHFFFAOYSA-N	CHEMBL3186849	Metabolic modifier
FIMM115471...Roxadustat	FIMM115471	Roxadustat	HIF prolyl hydroxylase inhibitor	HIF1A	E.Differentiating.epigenetic modifier	Investigational (Ph 2)	FG-4592	NA	NA	NA	DMSO	10000	YOZBGTLTNGAVFU-UHFFFAOYSA-N	CHEMBL2338329	Differentiating.epigenetic modifier
FIMM115472...Pevonedistat	FIMM115472	Pevonedistat	NAE inhibitor	NAE1	H.Metabolic modifier	Investigational (Ph 1)	MLN4924	NA	NA	NA	DMSO	10000	MPUQHZXIXSTTDU-QGWWYQLQSA-N	CHEMBL1231160,CHEMBL2364622	Metabolic modifier
FIMM115473...GSK2636771	FIMM115473	GSK2636771	PI3K beta selective inhibitor	PIK3CB	B.Kinase inhibitor	Investigational (Ph 1)	GSK2636771	NA	NA	NA	DMSO	10000	XTKLTGBKIDQGQL-UHFFFAOYSA-N	CHEMBL3188551	Kinase inhibitor
FIMM115474...AT_406	FIMM115474	AT-406	XIAP, cIAP1, cIAP2 inhibitor	XIAP;BIRC2;BIRC3	G.Apoptotic modulator	Investigational (Ph 1)	AT-406	Debio 1143	NA	Inactive	DMSO	10000	LSXUTRRVVSPWDZ-WOTGAKFBSA-N	not in ChEMBL	Apoptotic modulator
FIMM115478...Lomeguatrib	FIMM115478	Lomeguatrib	O6-methylguanine-DNA methyltransferase inhibitor	MGMT	E.Differentiating.epigenetic modifier	Investigational (Ph 2)	NA	NA	NA	Inactive	DMSO	10000	JUJPKFNFCWJBCX-UHFFFAOYSA-N	CHEMBL339133	Differentiating.epigenetic modifier
FIMM115479...GSK269962	FIMM115479	GSK269962	ROCK1 and ROCK2 inhibitor	ROCK1;ROCK2;RPS6KA5;RPS6KA1	B.Kinase inhibitor	Probe	GSK269962	NA	NA	Inactive	DMSO	10000	YOVNFNXUCOWYSG-UHFFFAOYSA-N	CHEMBL220241,CHEMBL1909363	Kinase inhibitor
FIMM115482...GSK650394	FIMM115482	GSK650394	SGK1 and 2 inhibitor	SGK1	B.Kinase inhibitor	Probe	GSK650394	NA	NA	Inactive	DMSO	10000	WVSBGSNVCDAMCF-UHFFFAOYSA-N	CHEMBL558642	Kinase inhibitor
FIMM115483...AVN944	FIMM115483	AVN944	IMPDH inhibitor	IMPDH1	H.Metabolic modifier	Investigational (Ph 2)	AVN944	VX-944	NA	Inactive	DMSO	10000	GYCPCOJTCINIFZ-OXJNMPFZSA-N	not in ChEMBL	Metabolic modifier
FIMM115484...Venetoclax	FIMM115484	Venetoclax	Bcl-2 selective inhibitor	BCL2	G.Apoptotic modulator	Approved (US)	ABT-199	GDC-0199	NA	NA	DMSO	1000	LQBVNQSMGBZMKD-UHFFFAOYSA-N	CHEMBL3137309	Apoptotic modulator
FIMM115485...BMS_911543	FIMM115485	BMS-911543	JAK2 inhibitor	JAK2;SETD2;TYK2;JAK3	B.Kinase inhibitor	Investigational (Ph 1)	BMS-911543	NA	NA	Inactive	DMSO	10000	JCINBYQJBYJGDM-UHFFFAOYSA-N	not in ChEMBL	Kinase inhibitor
FIMM115486...Ipatasertib	FIMM115486	Ipatasertib	AKT inhibitor	AKT1;AKT2;AKT3	B.Kinase inhibitor	Investigational (Ph 2)	GDC-0068	RG7440	NA	NA	DMSO	10000	GRZXWCHAXNAUHY-NSISKUIASA-N	CHEMBL2177390	Kinase inhibitor
FIMM115606...IOX_2	FIMM115606	IOX-2	PHD2 inhibitor	EGLN1	E.Differentiating.epigenetic modifier	Probe	IOX-2	NA	NA	Inactive	DMSO	50000	CAOSCCRYLYQBES-UHFFFAOYSA-N	CHEMBL3186774	Differentiating.epigenetic modifier
FIMM115607...GSK_J4	FIMM115607	GSK-J4	JMJD3 (histone demethylase) inhibitor	KDM6B	E.Differentiating.epigenetic modifier	Probe	GSK-J4	NA	NA	Inactive	DMSO	100000	WBKCKEHGXNWYMO-UHFFFAOYSA-N	CHEMBL3183531	Differentiating.epigenetic modifier
FIMM115608...UNC1215	FIMM115608	UNC1215	L3MBTL3 inhibitor	L3MBTL3	E.Differentiating.epigenetic modifier	Probe	UNC1215	NA	NA	Inactive	DMSO	10000	PQOOIERVZAXHBP-UHFFFAOYSA-N	CHEMBL2426364	Differentiating.epigenetic modifier
FIMM115609...SGC0946	FIMM115609	SGC0946	DOT1L inhibitor	DOT1L	E.Differentiating.epigenetic modifier	Probe	SGC0946	NA	NA	Inactive	DMSO	10000	IQCKJUKAQJINMK-HUBRGWSESA-N	CHEMBL3087498	Differentiating.epigenetic modifier
FIMM115610...UNC0642	FIMM115610	UNC0642	G9a, GLP inhibitor	EHMT2	E.Differentiating.epigenetic modifier	Probe	UNC0642	NA	NA	Inactive	DMSO	10000	RNAMYOYQYRYFQY-UHFFFAOYSA-N	not in ChEMBL, not in UniChem	Differentiating.epigenetic modifier
FIMM115611...GSK343	FIMM115611	GSK343	EZH2 inhibitor	EZH2	E.Differentiating.epigenetic modifier	Probe	GSK343	NA	NA	Inactive	DMSO	1000	ULNXAWLQFZMIHX-UHFFFAOYSA-N	CHEMBL2204995	Differentiating.epigenetic modifier
FIMM115612...UNC0638	FIMM115612	UNC0638	G9a, GLP inhibitor	EHMT2	E.Differentiating.epigenetic modifier	Probe	UNC0638	NA	NA	Inactive	DMSO	10000	QOECJCJVIMVJGX-UHFFFAOYSA-N	CHEMBL1231795	Differentiating.epigenetic modifier
FIMM115613...C646	FIMM115613	C646	EP300, CREB-binding protein (CBP) inhibitor	EP300	E.Differentiating.epigenetic modifier	Probe	C646	NA	NA	Inactive	DMSO	25000	HEKJYZZSCQBJGB-UHFFFAOYSA-N	CHEMBL1797936	Differentiating.epigenetic modifier
FIMM115614...8_chloro_adenosine	FIMM115614	8_chloro_adenosine	Antimetabolite, Nucleoside analog, RNA synthesis inhibitor	RNA	A.Conv.Chemo	Investigational (Ph 2)	NA	8-chloro-adenosine	Prodrug, activated in the cells	NA	DMSO	50000	MHDPPLULTMGBSI-UUOKFMHZSA-N	CHEMBL1333540	Conv.Chemo
FIMM115615...8_amino_adenosine	FIMM115615	8_amino_adenosine	Antimetabolite, Nucleoside analog, RNA synthesis inhibitor	RNA	A.Conv.Chemo	Probe	NA	8-amino-adenosine	Prodrug, activated in the cells	Inactive	DMSO	50000	DVGWFQILDUEEGX-UUOKFMHZSA-N	CHEMBL516197	Conv.Chemo
FIMM133776...Rocilinostat	FIMM133776	Rocilinostat	HDAC6 selective inhibitor	HDAC6	E.Differentiating.epigenetic modifier	Investigational (Ph 1)	ACY-1215	NA	NA	NA	DMSO	10000	QGZYDVAGYRLSKP-UHFFFAOYSA-N	CHEMBL2364628	Differentiating.epigenetic modifier
FIMM133777...ASP3026	FIMM133777	ASP3026	ALK inhibitor	ALK	B.Kinase inhibitor	Investigational (Ph 1)	ASP3026	NA	NA	NA	DMSO	10000	MGGBYMDAPCCKCT-UHFFFAOYSA-N	not in ChEMBL	Kinase inhibitor
FIMM133778...Alectinib	FIMM133778	Alectinib	ALK (incl gatekeeper mut) inhib	ALK	B.Kinase inhibitor	Approved (Japan, US)	CH5424802	NA	NA	NA	DMSO	1000	KDGFLJKFZUIJMX-UHFFFAOYSA-N	CHEMBL1738797	Kinase inhibitor
FIMM133782...Ganetespib	FIMM133782	Ganetespib	HSP90 inhibitor	HSP90AA1	K.HSP inhibitor	Investigational (Ph 3)	STA-9090	NA	NA	NA	DMSO	1000	RVAQIUULWULRNW-UHFFFAOYSA-N	CHEMBL2103879	HSP inhibitor
FIMM133783...TRAM_34	FIMM133783	TRAM-34	intermediate-conductance Ca2+-activated K+ channel inhibitor	KCNN4	X.Other	Probe	TRAM-34	NA	NA	Inactive	DMSO	1000	KBFUQFVFYYBHBT-UHFFFAOYSA-N	CHEMBL498270	Other
FIMM133784...Pracinostat	FIMM133784	Pracinostat	HDAC inhibitor	HDAC1;HDAC2;HDAC3;HDAC8	E.Differentiating.epigenetic modifier	Investigational (Ph 2)	SB-939	NA	NA	NA	DMSO	10000	JHDKZFFAIZKUCU-ZRDIBKRKSA-N	CHEMBL1851943	Differentiating.epigenetic modifier
