gene	pearson_corr	pearson_pvalue	pearson_FDR	spearman_corr	spearman_pvalue	spearman_FDR	mean_RNA	mean_protein	sd_RNA	sd_protein	number_of_samples
MED10	0.1375	0.2785	0.302	0.2271	0.07115	0.0837	25.18	0.13	5.6	0.2	64
MED11	0.3634	0.003158	0.00419	0.3167	0.01078	0.014	23.28	-0.02	7.58	0.19	64
MED12	0.4242	0.0004778	0.000694	0.461	0.0001261	0.00021	63.26	0.18	19.93	0.23	64
MED12L	0.8939	2.807e-23	2.51e-21	0.8664	2.3e-20	3.59e-19	12.37	-0.02	14.12	0.79	64
MED13	0.3543	0.004079	0.00535	0.3065	0.01378	0.0177	78.33	0.11	20.83	0.26	64
MED13L	0.6659	1.926e-09	5.7e-09	0.6757	9.045e-10	3.03e-09	41.9	0.19	21.27	0.32	64
MED14	0.4066	0.000856	0.00121	0.4801	5.948e-05	0.000103	32.95	0.12	17.93	0.17	64
MED15	-0.0176	0.8904	0.9	-0.0066	0.9585	0.963	14.75	0.07	6.73	0.13	64
MED16	0.0734	0.5644	0.59	0.1473	0.2456	0.27	13.23	0.09	6.08	0.17	64
MED17	0.2351	0.06153	0.0717	0.2395	0.05667	0.0675	5.18	0.14	1.83	0.17	64
MED18	0.4491	0.0001972	0.000301	0.3894	0.00147	0.00213	29.45	0.07	8.17	0.14	64
MED19	0.3543	0.004069	0.00534	0.335	0.006808	0.00909	19.44	0.1	4.24	0.15	64
MED20	0.5169	1.227e-05	2.16e-05	0.4316	0.0003692	0.00058	53.21	0.04	16.87	0.15	64
MED21	0.3227	0.009314	0.0118	0.171	0.1768	0.198	47.62	0.07	13.15	0.16	64
MED22	0.3331	0.007155	0.00915	0.3324	0.007281	0.00967	21.25	0.04	4.8	0.14	64
MED23	0.2633	0.03552	0.0425	0.321	0.00971	0.0127	46.71	0.07	11.83	0.16	64
MED24	0.0171	0.8933	0.903	0.0588	0.6442	0.668	33.51	0.13	6.69	0.2	64
MED25	0.2998	0.01609	0.0199	0.2818	0.02409	0.0301	13.93	0.12	3.92	0.17	64
MED26	0.087	0.4944	0.521	0.1864	0.1402	0.159	5.41	0.04	1.64	0.2	64
MED27	0.3784	0.002046	0.00277	0.2105	0.09506	0.11	18.71	0.01	4.74	0.15	64
MED28	0.1925	0.1276	0.144	0.316	0.01097	0.0143	46.59	0.06	16.9	0.14	64
MED29	-0.0215	0.866	0.877	0.0047	0.9706	0.974	29.19	0.07	6.15	0.15	64
MED30	0.1392	0.2726	0.296	0.172	0.1741	0.195	50.61	0.04	27.79	0.18	64
MED31	0.0265	0.8354	0.849	0.0984	0.4394	0.467	13.35	0.09	4.07	0.31	64
MED4	0.2382	0.05805	0.0678	0.2316	0.06552	0.0774	72.94	0.03	21.06	0.18	64
MED6	0.1661	0.1896	0.21	0.1286	0.3113	0.338	25.63	0.11	9.5	0.17	64
MED7	0.1612	0.2032	0.224	0.1577	0.2133	0.236	23.42	0.15	5.19	0.21	64
MED8	0.2873	0.02132	0.0261	0.2894	0.02038	0.0257	39.94	0.12	11.5	0.13	64
MED9	0.5946	2.214e-07	4.92e-07	0.6406	1.194e-08	3.43e-08	18.01	0.05	11.68	0.18	64
MEF2A	0.8495	7.15e-19	1.44e-17	0.9017	2.916e-24	9.73e-23	87.73	0.08	52.39	0.46	64
MEF2B	0.7123	1.219e-07	2.81e-07	0.1568	0.3213	0.349	0.48	-0.78	0.84	0.7	42
MEF2C	0.8913	5.74e-23	4.57e-21	0.8847	3.19e-22	7e-21	133.43	-0.07	132.53	0.72	64
MEF2D	0.762	2.613e-13	1.49e-12	0.8988	7.027e-24	2.17e-22	51.31	-0.22	35.27	0.64	64
MEGF8	0.4586	0.0001386	0.000215	0.4116	0.0007278	0.0011	10.05	0.07	3.14	0.37	64
MEGF9	0.6446	9.044e-09	2.45e-08	0.635	1.742e-08	4.87e-08	23.53	0.04	7.22	0.54	64
MEIS1	0.7899	1.033e-13	6.34e-13	0.6269	1.085e-07	2.73e-07	9.87	-0.08	26.26	0.67	59
MEIS2	0.706	1.051e-06	2.13e-06	0.6608	8.534e-06	1.66e-05	1.14	-0.66	1.85	0.85	37
MELK	0.6688	1.542e-09	4.62e-09	0.7129	3.88e-11	1.54e-10	91.53	-0.03	54.68	0.41	64
MELTF	0.7704	9.802e-14	6.04e-13	0.8504	6.064e-19	7.25e-18	18.25	-0.02	24.78	0.97	64
MEMO1	0.0997	0.4334	0.46	0.1544	0.2232	0.247	5.03	0	3.51	0.3	64
MEN1	0.3057	0.01403	0.0174	0.3753	0.002244	0.00318	29.48	0.17	9.01	0.16	64
MEPCE	0.5623	1.329e-06	2.65e-06	0.6072	1.041e-07	2.63e-07	64.22	0.09	15.41	0.17	64
MERTK	0.705	7.881e-11	2.92e-10	0.8489	8.086e-19	9.46e-18	13.82	-0.32	35.41	0.99	64
MESD	0.5717	8.042e-07	1.65e-06	0.4843	5.018e-05	8.8e-05	27.37	0.04	5.77	0.22	64
MEST	0.791	7.467e-15	5.77e-14	0.6571	3.684e-09	1.13e-08	13.82	0.18	25.89	0.67	64
METAP1	0.6511	5.719e-09	1.6e-08	0.5971	1.913e-07	4.67e-07	82.96	0.03	29.87	0.17	64
METAP1D	0.5849	3.861e-07	8.28e-07	0.585	3.84e-07	8.99e-07	9.8	0.03	6.37	0.26	64
METAP2	0.0355	0.7804	0.796	0.0967	0.4472	0.475	106.5	0.14	34.03	0.33	64
METTL1	0.3868	0.001592	0.00218	0.3426	0.005588	0.00752	16.79	-0.04	5.78	0.26	64
METTL14	0.3398	0.006017	0.00776	0.3647	0.003052	0.00425	24.82	0.09	5.65	0.18	64
METTL15	0.5259	8.101e-06	1.46e-05	0.4495	0.0001942	0.000316	13.06	-0.09	4.41	0.35	64
METTL16	0.7459	1.527e-12	7.49e-12	0.6894	2.988e-10	1.06e-09	26.7	0.08	10.21	0.22	64
METTL17	0.2447	0.05128	0.0604	0.2171	0.08489	0.099	61.53	0.06	14.31	0.26	64
METTL18	0.7506	9.253e-13	4.72e-12	0.7615	2.755e-13	1.47e-12	28.88	0	10.23	0.28	64
METTL21A	0.6045	1.224e-07	2.82e-07	0.5936	2.346e-07	5.65e-07	12.88	0	3.7	0.23	64
METTL22	0.5074	1.873e-05	3.22e-05	0.5251	8.404e-06	1.64e-05	12.71	0.18	5.71	0.54	64
METTL23	0.1021	0.5147	0.541	0.0926	0.5549	0.582	30.66	-0.04	9.25	0.28	43
METTL25	0.2747	0.02804	0.0339	0.2872	0.02139	0.0269	10.4	-0.1	4.2	0.28	64
METTL26	0.2237	0.07555	0.0873	0.2826	0.02369	0.0296	41.77	0	15.89	0.37	64
METTL2A	0.5458	4.136e-05	6.84e-05	0.5776	1.123e-05	2.15e-05	29.62	0.1	9.03	0.37	50
METTL2B	0.5386	4.407e-06	8.22e-06	0.5777	5.774e-07	1.32e-06	24.02	-0.15	7.82	0.49	64
METTL3	0.2307	0.06668	0.0775	0.2512	0.04523	0.0546	54.02	0.07	17.39	0.14	64
METTL4	0.5025	2.324e-05	3.95e-05	0.5221	9.65e-06	1.87e-05	13.16	-0.02	4.32	0.33	64
METTL5	0.6306	2.345e-08	6e-08	0.563	1.284e-06	2.8e-06	39.05	-0.09	12.61	0.36	64
METTL6	0.3024	0.01516	0.0188	0.3174	0.01059	0.0138	12.58	-0.01	3.62	0.24	64
METTL7A	0.8275	3.497e-17	4.45e-16	0.8472	1.112e-18	1.27e-17	33.94	0.34	27.31	0.83	64
METTL7B	0.7789	3.517e-14	2.38e-13	0.6676	1.691e-09	5.46e-09	1.15	-0.62	2.09	0.81	64
METTL8	0.5982	1.787e-07	4.03e-07	0.6364	1.592e-08	4.48e-08	13.53	-0.09	6.25	0.27	64
METTL9	0.5503	2.472e-06	4.76e-06	0.5331	5.767e-06	1.15e-05	66	0.09	18.92	0.28	64
MEX3A	0.8752	3.238e-21	1.39e-19	0.8443	1.883e-18	2.06e-17	15.15	0.05	10.69	0.59	64
MEX3B	0.6488	6.727e-09	1.86e-08	0.6898	2.888e-10	1.03e-09	10.75	0.07	6.88	0.48	64
MEX3C	0.6464	7.936e-09	2.17e-08	0.6619	2.593e-09	8.15e-09	65.89	-0.02	26.14	0.24	64
MEX3D	0.817	1.842e-16	1.97e-15	0.8121	3.865e-16	2.95e-15	12.82	0.02	5.4	0.29	64
MFAP1	0.2814	0.02427	0.0295	0.2046	0.1048	0.121	80.1	0.01	22.03	0.11	64
MFAP3	-0.035	0.7838	0.8	-0.0984	0.4394	0.467	18.3	-0.23	5.06	0.6	64
MFF	0.4191	0.0005667	0.000816	0.4179	0.0005894	9e-04	41.72	0	9.42	0.2	64
MFGE8	0.617	5.662e-08	1.38e-07	0.745	1.685e-12	8.12e-12	17.49	0.24	16.98	0.67	64
MFHAS1	0.8508	5.561e-19	1.17e-17	0.8625	5.274e-20	7.68e-19	48.91	0	25.16	0.45	64
MFN1	0.3197	0.01002	0.0126	0.2688	0.03172	0.0391	38.5	-0.04	11.11	0.35	64
MFN2	0.1991	0.1147	0.13	0.0612	0.6311	0.655	74.67	0.07	15.8	0.23	64
MFNG	0.7019	1.667e-09	4.97e-09	0.6836	6.389e-09	1.9e-08	72.73	-0.09	35.94	0.46	56
MFSD1	0.4444	0.0002348	0.000355	0.5312	6.306e-06	1.25e-05	31	0.09	27.63	0.39	64
MFSD10	0.5975	1.86e-07	4.18e-07	0.5186	1.132e-05	2.17e-05	18.3	0.09	10.84	0.55	64
MFSD12	0.3336	0.05779	0.0676	0.2874	0.1048	0.121	15.27	-0.03	5.94	0.44	33
MFSD14B	0.3825	0.001815	0.00247	0.3925	0.001337	0.00195	88.98	-0.21	23.98	0.33	64
MFSD2A	0.6561	1.875e-05	3.22e-05	0.6336	4.391e-05	7.76e-05	10.29	-0.42	7.01	0.68	35
MFSD4B	0.3158	0.01103	0.0138	0.3559	0.003898	0.00535	18.48	-0.09	8.77	0.48	64
MFSD5	0.3999	0.001061	0.00148	0.262	0.03646	0.0445	17.66	0.02	7.63	0.26	64
MFSD6	0.8321	1.615e-17	2.25e-16	0.8425	2.629e-18	2.82e-17	25.81	-0.2	16.35	0.43	64
MFSD8	0.2617	0.0367	0.0438	0.1579	0.2127	0.236	11.93	0.04	4.76	0.33	64
MFSD9	0.2891	0.06332	0.0737	0.3276	0.03418	0.0419	11.68	0.1	2.8	0.26	42
MGA	0.555	1.946e-06	3.79e-06	0.5168	1.231e-05	2.35e-05	53.23	-0.14	18.58	0.35	64
MGAT1	0.5069	1.916e-05	3.29e-05	0.4621	0.0001211	0.000202	16.45	-0.07	11.83	0.3	64
MGAT2	0.5162	1.265e-05	2.23e-05	0.4772	6.707e-05	0.000116	98.4	-0.01	34.71	0.22	64
MGAT3	0.6409	9.243e-07	1.88e-06	0.8188	1.158e-12	5.71e-12	5.01	-0.45	8.51	0.82	48
MGAT4A	0.8329	1.418e-17	2.01e-16	0.8827	5.291e-22	1.09e-20	40.88	-0.17	29.26	0.72	64
MGAT4B	0.6452	8.647e-09	2.35e-08	0.5604	1.465e-06	3.17e-06	25.37	-0.02	11.91	0.42	64
MGAT5	0.6792	6.858e-10	2.16e-09	0.6724	1.17e-09	3.86e-09	56.63	-0.01	34.49	0.46	64
MGLL	0.4332	0.001495	0.00205	0.3155	0.02411	0.0301	1.46	-1.49	2.89	1.07	51
MGME1	0.5054	2.052e-05	3.51e-05	0.4797	6.059e-05	0.000105	71.64	-0.01	23.26	0.21	64
MGMT	0.8317	1.734e-17	2.4e-16	0.8822	5.929e-22	1.22e-20	14.69	0.19	11.89	0.71	64
MGRN1	-0.0779	0.5409	0.567	-0.058	0.6489	0.672	8.57	-0.03	3.69	0.19	64
MGST1	0.4412	0.0004695	0.000683	0.1968	0.1351	0.154	0.36	-2.14	1.72	1.62	59
MGST2	0.9186	1.087e-26	5.84e-24	0.9246	1.124e-27	9.02e-26	16.28	-0.07	10.28	0.61	64
MGST3	0.8259	4.492e-17	5.59e-16	0.7439	1.88e-12	9.02e-12	11.76	-0.04	14.89	0.5	64
MIA2	0.574	7.084e-07	1.46e-06	0.5593	1.556e-06	3.35e-06	15.53	0.04	7.93	0.24	64
MIA3	0.4275	0.0004258	0.000624	0.432	0.0003645	0.000573	42.61	0.01	11.83	0.25	64
MIB1	0.5014	2.44e-05	4.13e-05	0.3612	0.003362	0.00465	108.95	-0.01	67.55	0.17	64
MIB2	0.4992	2.686e-05	4.53e-05	0.4818	5.552e-05	9.68e-05	5.49	0.12	2.79	0.24	64
MICAL1	0.7823	2.285e-14	1.6e-13	0.8062	9.18e-16	6.67e-15	65.14	0.07	31.69	0.53	64
MICAL2	0.707	1.132e-09	3.45e-09	0.674	1.239e-08	3.54e-08	2.81	-0.07	5.53	0.77	56
MICAL3	0.6976	1.5e-10	5.28e-10	0.8524	4.074e-19	5e-18	9.84	0	9.23	0.45	64
MICALL1	0.7898	8.726e-15	6.63e-14	0.7885	1.034e-14	6.63e-14	21.4	0	8.56	0.42	64
MICALL2	0.7561	1.05e-11	4.52e-11	0.5102	5.032e-05	8.83e-05	0.9	0.24	0.87	0.46	57
MICOS13	0.3637	0.003137	0.00417	0.2535	0.04324	0.0524	19.37	0.08	7.58	0.23	64
MICU1	0.5889	3.084e-07	6.71e-07	0.5973	1.887e-07	4.61e-07	50.52	0.09	11.1	0.27	64
MICU2	-0.0241	0.8502	0.862	0.0766	0.5474	0.574	54.92	0.1	12.32	0.26	64
MID1	0.9312	7.303e-29	2.62e-25	0.9336	2.488e-29	3.3e-27	3.36	-0.12	3.07	0.86	64
MID1IP1	0.5692	9.213e-07	1.88e-06	0.5332	5.717e-06	1.14e-05	45.5	-0.27	25.5	0.41	64
MIDN	0.628	1.051e-06	2.13e-06	0.6761	7.134e-08	1.84e-07	11.7	-0.04	5.98	0.45	50
MIEF1	0.5489	2.653e-06	5.09e-06	0.4593	0.0001345	0.000223	35.07	-0.02	7.03	0.26	64
MIEF2	0.1708	0.2041	0.225	0.2322	0.08214	0.096	7.47	-0.11	2.43	0.37	57
MIEN1	0.8176	1.671e-16	1.8e-15	0.7655	1.744e-13	9.54e-13	35.69	0.11	10.03	0.31	64
MIER1	0.5634	1.257e-06	2.51e-06	0.5703	8.684e-07	1.93e-06	36.72	0.02	9.77	0.17	64
MIER2	0.7594	3.506e-13	1.95e-12	0.7581	4.053e-13	2.12e-12	5.18	-0.15	3.04	0.52	64
MIER3	0.6714	1.263e-09	3.83e-09	0.696	1.717e-10	6.31e-10	53.89	0.04	24.8	0.33	64
MIF	0.3235	0.009119	0.0115	0.39	0.001443	0.00209	42.89	0.05	27.78	0.17	64
MIF4GD	0.6803	6.263e-10	1.99e-09	0.7261	1.121e-11	4.8e-11	20.96	0.02	6.79	0.29	64
MIGA1	0.5829	4.341e-07	9.24e-07	0.5618	1.364e-06	2.96e-06	8.66	0.03	3.65	0.51	64
MIGA2	0.3682	0.00276	0.00368	0.3457	0.00515	0.00696	20.74	-0.16	6.54	0.35	64
MIIP	0.5139	1.402e-05	2.45e-05	0.4197	0.0005552	0.000851	22.62	-0.09	10.02	0.3	64
MILR1	0.8253	4.983e-17	6.16e-16	0.8806	8.893e-22	1.78e-20	68.42	-0.31	84.59	1.14	64
MINDY1	0.7089	5.592e-11	2.12e-10	0.6939	2.054e-10	7.46e-10	11.78	0.03	4.88	0.39	64
MINDY2	0.8462	1.33e-18	2.46e-17	0.8421	2.832e-18	3.02e-17	22.24	-0.08	12.78	0.45	64
MINDY3	0.0337	0.7917	0.808	0.087	0.494	0.521	29.38	-0.12	9.17	0.51	64
MINK1	0.4194	0.000562	0.00081	0.5164	1.251e-05	2.39e-05	18.61	0.06	6.58	0.28	64
MINPP1	0.8683	1.537e-20	5.21e-19	0.8759	2.748e-21	5.03e-20	15.75	0.04	9.53	0.73	64
MIOS	0.7196	2.086e-11	8.54e-11	0.7561	5.076e-13	2.61e-12	28.47	0.01	10.16	0.28	64
MIPEP	0.6809	5.992e-10	1.91e-09	0.6537	4.746e-09	1.44e-08	16.5	-0.15	5.41	0.29	64
MIS12	0.2311	0.06621	0.077	0.2518	0.0447	0.054	60.29	0.07	19.2	0.15	64
MIS18A	0.7702	1.009e-13	6.2e-13	0.7622	2.548e-13	1.37e-12	66.14	-0.04	31.48	0.39	64
MIS18BP1	0.6981	1.443e-10	5.1e-10	0.7095	5.274e-11	2.06e-10	102.94	-0.04	71.21	0.42	64
MISP3	0.6945	5.735e-09	1.6e-08	0.5904	2.609e-06	5.45e-06	1.36	-0.35	1.97	0.79	54
MITD1	0.0884	0.4874	0.514	0.1909	0.1307	0.149	24.23	-0.11	6.19	0.19	64
MITF	0.8757	4.251e-07	9.06e-07	0.5925	0.005913	0.00794	6.35	-0.48	15.25	0.95	20
MKI67	0.4542	0.0001634	0.000252	0.5412	3.893e-06	7.93e-06	191.12	-0.17	139.14	0.43	64
MKKS	0.6353	0.0004884	0.000709	0.6342	0.0005031	0.000775	8.89	-0.09	4.94	0.28	26
MKLN1	-0.1372	0.2798	0.303	-0.0784	0.5379	0.565	42.39	-0.03	16.97	0.24	64
MKNK1	0.7544	6.097e-13	3.21e-12	0.6703	1.376e-09	4.49e-09	10.82	0.04	8.2	0.38	64
MKNK2	0.5219	9.75e-06	1.74e-05	0.606	1.116e-07	2.8e-07	62.78	0	25.48	0.29	64
MKRN1	0.395	0.001237	0.00171	0.4045	0.0009164	0.00136	53.71	0	14.32	0.23	64
MKRN2	0.6096	8.97e-08	2.11e-07	0.5659	1.099e-06	2.41e-06	66.61	0.03	15.28	0.21	64
MKRN3	0.6947	1.918e-10	6.65e-10	0.8136	3.099e-16	2.41e-15	8.98	-0.32	14.84	1.1	64
MKS1	0.4007	0.001034	0.00145	0.4168	0.0006115	0.000932	15.91	-0.06	5.3	0.29	64
MLC1	0.8192	3.872e-15	3.13e-14	0.7642	2.954e-12	1.38e-11	14.92	-0.12	30.13	0.98	58
MLEC	0.3943	0.001263	0.00175	0.4073	0.0008362	0.00125	177.42	0.09	42.8	0.21	64
MLF2	0.7729	7.343e-14	4.64e-13	0.7065	6.881e-11	2.65e-10	48.92	0.03	17.29	0.29	64
MLH1	0.7212	1.8e-11	7.46e-11	0.7593	3.532e-13	1.87e-12	91.53	0.07	33.17	0.59	64
MLH3	0.7402	2.752e-12	1.31e-11	0.7723	7.804e-14	4.48e-13	21.8	-0.02	14.28	0.65	64
MLIP	0.8134	2.496e-07	5.51e-07	0.7528	5.88e-06	1.17e-05	1.34	-0.17	3.21	1	27
MLKL	0.7331	5.68e-12	2.55e-11	0.7831	2.071e-14	1.27e-13	9.59	-0.08	6.04	0.48	64
MLLT1	0.2142	0.08921	0.102	0.2711	0.03027	0.0374	29.42	0.1	9.6	0.17	64
MLLT10	0.5183	1.149e-05	2.03e-05	0.5594	1.544e-06	3.33e-06	31.71	-0.09	12.56	0.29	64
MLLT11	0.7065	6.928e-11	2.58e-10	0.7319	6.377e-12	2.83e-11	35.15	-0.12	19.52	0.56	64
MLLT3	0.9422	3.953e-31	4.25e-27	0.8639	3.985e-20	5.97e-19	9.48	-0.18	12.74	0.83	64
MLLT6	0.6877	3.447e-10	1.14e-09	0.6442	9.266e-09	2.7e-08	57.33	0.19	17.74	0.31	64
MLST8	0.0889	0.4849	0.512	-0.0964	0.4487	0.476	14.35	0.1	6.41	0.14	64
MLX	-0.0973	0.4445	0.471	-0.1487	0.2409	0.265	43.01	0.2	12.5	0.4	64
MLXIP	0.7644	1.988e-13	1.16e-12	0.7847	1.689e-14	1.05e-13	27.42	0.2	17.96	0.35	64
MLYCD	0.708	6.064e-11	2.28e-10	0.6941	2.022e-10	7.35e-10	3.75	0.19	1.6	0.44	64
MMAA	0.5555	1.889e-06	3.69e-06	0.4752	7.257e-05	0.000124	4.41	0.11	1.55	0.28	64
MMAB	0.5416	3.803e-06	7.16e-06	0.6315	2.213e-08	6.1e-08	20.97	0.1	9.06	0.39	64
MMACHC	0.6425	1.045e-08	2.8e-08	0.5866	3.509e-07	8.27e-07	11.34	-0.15	4.37	0.4	64
MMADHC	0.6584	3.371e-09	9.69e-09	0.6112	8.123e-08	2.08e-07	166.81	-0.16	71.29	0.32	64
MME	0.9158	3.02e-26	1.26e-23	0.9027	2.159e-24	7.44e-23	149.25	-0.13	183.19	1.21	64
MMGT1	0.3644	0.003075	0.00409	0.2868	0.0216	0.0271	41.66	0.05	12.81	0.23	64
MMP14	0.7225	1.582e-11	6.61e-11	0.5905	2.81e-07	6.72e-07	12.66	-0.28	22.83	1.17	64
MMP16	0.08	0.6147	0.638	-0.0107	0.9466	0.952	0.82	-0.01	2.49	0.27	42
MMP24OS	0.2839	0.02299	0.028	0.3343	0.00693	0.00924	6.84	-0.05	3.25	0.62	64
MMP25	0.7464	2.808e-05	4.72e-05	0.2687	0.2042	0.227	15.53	-0.07	59.06	0.97	24
MMS19	0.2676	0.03257	0.0391	0.2503	0.04609	0.0556	69.49	0.02	12.36	0.22	64
MMS22L	0.5679	9.855e-07	2e-06	0.661	2.767e-09	8.66e-09	21.02	-0.01	11.28	0.3	64
MMUT	0.4443	0.0002351	0.000355	0.4047	0.0009094	0.00135	28.77	0.08	6.57	0.2	64
MNAT1	0.4276	0.0004248	0.000622	0.4502	0.0001896	0.000309	22.55	-0.04	9.32	0.18	64
MND1	0.5067	1.939e-05	3.33e-05	0.5172	1.208e-05	2.31e-05	101.24	0.05	76.45	0.27	64
MNDA	-0.098	0.441	0.468	-0.0595	0.6404	0.664	0.47	-2.43	2.71	1.29	64
MNS1	0.4541	0.001345	0.00185	0.347	0.01688	0.0215	5.79	-0.22	4.46	0.63	47
MNT	0.27	0.03097	0.0372	0.3155	0.01111	0.0144	7.43	0.11	3.66	0.2	64
MNX1	0.7955	4.101e-15	3.3e-14	0.5955	2.092e-07	5.07e-07	0.5	-0.79	1.08	1.22	64
MOAP1	0.5682	7.057e-05	0.000114	0.5861	3.638e-05	6.5e-05	54.45	-0.04	18.82	0.36	43
MOB2	0.5153	1.319e-05	2.31e-05	0.4544	0.0001619	0.000266	10.09	0.13	2.2	0.22	64
MOB3A	0.786	1.43e-14	1.04e-13	0.8383	5.531e-18	5.58e-17	40.5	-0.21	34.31	0.65	64
MOB3B	0.7747	6.531e-11	2.45e-10	0.8139	1.159e-12	5.72e-12	2.61	-0.27	3.47	0.75	49
MOB3C	0.6956	2.678e-09	7.78e-09	0.7077	1.073e-09	3.56e-09	8.14	0.21	5.18	0.52	56
MOB4	0.0086	0.953	0.958	-0.0124	0.9323	0.939	20.04	-0.05	5.24	0.16	49
MOCS1	0.6677	7.654e-09	2.1e-08	0.6078	3.3e-07	7.8e-07	2.98	-0.82	7.78	1.29	59
MOCS2	0.8406	3.693e-18	6.12e-17	0.8539	3.032e-19	3.79e-18	13.09	-0.33	7.86	0.65	64
MOCS3	0.6171	5.615e-08	1.37e-07	0.5844	3.982e-07	9.29e-07	9.07	0.08	2.91	0.27	64
MOGS	0.3911	0.001396	0.00192	0.3796	0.001976	0.00281	59.72	0.09	11.71	0.22	64
MON1A	0.5407	3.988e-06	7.49e-06	0.569	9.329e-07	2.07e-06	5.5	-0.08	1.4	0.22	64
MON1B	0.6084	9.648e-08	2.26e-07	0.5956	2.087e-07	5.06e-07	27.25	-0.03	7.54	0.19	64
MON2	0.221	0.07929	0.0914	0.3155	0.01111	0.0144	19.95	0.02	9.1	0.18	64
MORC2	0.6894	2.989e-10	9.98e-10	0.7357	4.363e-12	1.98e-11	28.96	0.08	11.66	0.31	64
MORC3	0.7177	2.501e-11	1.01e-10	0.7603	3.186e-13	1.7e-12	40.37	0.08	15.35	0.27	64
MORC4	0.2558	0.04133	0.0491	0.2873	0.02137	0.0269	3.21	0.11	3.94	0.16	64
MORF4L1	0.333	0.007173	0.00917	0.3884	0.001518	0.00219	85.88	0	18.96	0.29	64
MORF4L2	0.4556	0.0001552	0.00024	0.7324	6.095e-12	2.72e-11	208.44	0.1	61.18	0.42	64
MOSPD1	0.1599	0.2069	0.228	0.0155	0.9031	0.912	18.74	0.05	9.3	0.44	64
MOSPD2	0.637	1.523e-08	3.99e-08	0.6727	1.145e-09	3.78e-09	17.06	0.04	7.8	0.2	64
MOSPD3	0.3925	0.004384	0.00573	0.5099	0.0001325	0.00022	8.71	0.11	4.85	0.31	51
MOV10	0.608	9.881e-08	2.31e-07	0.5993	1.674e-07	4.12e-07	60.62	-0.01	20.7	0.34	64
MOXD1	0.6726	0.0004376	0.00064	0.0408	0.8535	0.866	0.77	-0.99	2.25	0.75	23
MPC2	0.0466	0.7146	0.734	0.1078	0.3964	0.425	57.2	-0.14	25.5	0.32	64
MPDU1	0.4475	0.0002095	0.000319	0.4066	0.000855	0.00128	43.73	0.02	14.41	0.38	64
MPEG1	0.5423	1.314e-05	2.31e-05	0.4551	0.0003749	0.000588	16.26	-1.47	71.09	1.36	57
MPG	0.6183	5.221e-08	1.28e-07	0.5792	5.337e-07	1.22e-06	31.23	0.08	16.68	0.34	64
MPHOSPH10	0.1615	0.2023	0.223	0.0921	0.4693	0.497	42.18	-0.08	12.78	0.22	64
MPHOSPH6	0.2105	0.09504	0.109	0.2364	0.06007	0.0713	50.39	-0.02	15.02	0.25	64
MPHOSPH8	0.3629	0.003208	0.00426	0.349	0.004702	0.00638	39.93	0.01	11.7	0.14	64
MPHOSPH9	0.4318	0.0003665	0.000541	0.4322	0.0003621	0.000569	70.05	-0.04	30.55	0.22	64
MPI	0.6076	1.016e-07	2.37e-07	0.5092	1.732e-05	3.24e-05	22.62	0.24	8.14	0.41	64
MPLKIP	0.098	0.4411	0.468	0.2185	0.08282	0.0967	8.52	0.08	2.72	0.24	64
MPND	0.3807	0.001914	0.0026	0.3044	0.01445	0.0185	17.23	0.1	7.3	0.34	64
MPO	0.5428	3.591e-06	6.78e-06	0.4775	6.607e-05	0.000114	33.71	-0.64	169.16	1.15	64
MPP1	0.9166	2.272e-26	1.11e-23	0.9378	3.473e-30	6.22e-28	72.02	0.18	51.67	0.67	64
MPP2	0.769	2.813e-12	1.33e-11	0.6977	1.623e-09	5.25e-09	1.98	-0.02	2.04	0.53	57
MPP5	0.5262	7.99e-06	1.45e-05	0.5896	2.964e-07	7.05e-07	9.37	-0.23	4.96	0.33	64
MPP6	0.8052	1.055e-15	9.49e-15	0.8625	5.376e-20	7.82e-19	23.72	-0.11	17.25	0.62	64
MPP7	0.8488	8.134e-19	1.6e-17	0.914	5.62e-26	2.82e-24	8.59	0.07	14.35	1.03	64
MPPE1	0.491	7.875e-05	0.000126	0.5145	3.064e-05	5.52e-05	10.1	-0.12	5.28	0.38	59
MPPED2	0.6991	1.841e-07	4.14e-07	0.4984	0.0006707	0.00102	2.55	-0.96	6.31	1.45	43
MPRIP	0.5314	6.245e-06	1.15e-05	0.5734	7.352e-07	1.65e-06	49.72	0.07	18.24	0.35	64
MPST	0.7758	5.122e-14	3.33e-13	0.6418	1.093e-08	3.16e-08	15.7	0.08	8.08	0.36	64
MPV17	-0.0033	0.9792	0.982	0.2006	0.112	0.129	26.37	0.11	9.43	0.36	64
MPV17L2	0.6253	1.19e-07	2.75e-07	0.5486	6.856e-06	1.36e-05	14.75	-0.14	6.77	0.41	59
MPZL1	0.7121	4.19e-11	1.62e-10	0.6556	4.128e-09	1.26e-08	61.28	-0.05	28.98	0.45	64
MR1	0.5268	7.776e-06	1.41e-05	0.4559	0.000153	0.000252	15.28	-0.09	11	0.33	64
MRC1	0.6124	9.957e-06	1.78e-05	0.446	0.002412	0.0034	11.96	-0.21	29.7	1.33	44
MRE11	0.4259	0.0004503	0.000657	0.5118	1.545e-05	2.91e-05	57.36	0.02	23.23	0.17	64
MREG	0.6513	5.634e-09	1.57e-08	0.8031	1.422e-15	1.01e-14	10.37	-0.25	9.47	0.76	64
