pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
NUCLEOTIDE_EXCISION_REPAIR	0.97	1	0.21	0.69	194	43	XPC|POLE4|DDB2|PCNA|ERCC5|RAD23B|ERCC4|CUL4B|RFC4|ERCC6|XPA|RFC1|POLE3|CUL4A|POLE2|POLD4|POLD2|CETN2|ERCC8|ERCC2|POLD3|RPA2|POLD1|RFC3|GTF2H2|MNAT1
N_GLYCAN_BIOSYNTHESIS	0.99	1	0.194	0.621	198	37	MGAT4A|FUT8|MAN1A1|STT3B|ST6GAL1|MGAT5|TUSC3|ALG1|MAN2A2|ALG2|ALG3|MGAT4B|ALG6|B4GALT1|ALG14|MAN2A1|GANAB|MGAT2|MGAT1|RFT1|ALG5|DDOST|RPN1|ALG11|ALG8|DOLPP1|DPAGT1|STT3A|MOGS
BASAL_TRANSCRIPTION_FACTORS	0.995	1	0.178	0.561	199	30	TAF4B|GTF2IRD1|TAF7|GTF2I|TBPL1|TAF4|GTF2E2|TBP|TAF2|TAF9|TAF5L|GTF2E1|GTF2B|TAF6L|GTF2H2|GTF2F2|TAF1|GTF2A1
OXIDATIVE_PHOSPHORYLATION	1	1	-0.287	NA	0	89	NDUFS8|MT-CO3|ATP5F1B|MT-CO2|MT-ND2|ATP5F1C|ATP5PO|NDUFV1|MT-ND3|ATP5F1E|MT-ATP8|ATP5PB|MT-ND6|ATP5PD|UQCRQ|NDUFB7|UQCRH|NDUFA11|ATP5ME|ATP5F1A|NDUFS3|ATP5PF|NDUFB4|UQCRFS1|NDUFS6|MT-ND5|UQCRC2|COX7A2|NDUFA10|NDUFA2|NDUFS1|NDUFA3|NDUFS7|MT-CO1|COX7C|NDUFC2|NDUFA9|NDUFC1|NDUFB9|ATP6V1G1|COX5B|NDUFB10|NDUFS4|UQCRC1|COX6B1|NDUFS2|ATP6V1E1|UQCR10|SDHC|COX15|NDUFV2|ATP5F1D|ATP6V1F|ATP6V0A2|COX5A|ATP6AP1|NDUFA5|COX7A2L|NDUFS5|COX6C|SDHB|NDUFB8|COX4I1|COX7B|UQCRB|NDUFAB1|NDUFA4|NDUFB3|PPA2|ATP6V1H|SDHA|NDUFA8|NDUFB6|COX17|CYC1|ATP6V1C1|NDUFB1|LHPP|NDUFB5|ATP6V1A|COX11|ATP6V1D|NDUFV3|ATP6V0A1|NDUFA6|ATP6V0D1|PPA1
RIBOSOME	1	1	-0.457	NA	0	77	RPS15A|RPS29|RPLP2|RPL10|RPS27|RPS26|RPL26|RPS19|RPS16|RPLP1|RPS8|RPL22|RPL9|RPL28|RPS28|RPS24|RPS10|RPS11|RPS15|RPL37|RPL18A|MRPL13|FAU|RPS27A|RPS23|RPL23|RPS12|RPL13A|RPS3A|RPL13|RPS20|RPL27A|RPL34|RPS21|RPL31|RPL21|RPL32|RPL36AL|RPS13|RSL24D1|RPL15|RPS18|RPL11|RPL3|RPLP0|RPL27|RPS9|RPL35A|RPS3|RPS4X|RPL35|RPL8|RPL18|RPL19|RPSA|RPL30|RPL14|RPS25|RPL37A|RPL12|RPL4|RPS5|RPL7A|RPL36|RPL29|RPL5|RPS2|RPL38|RPS6|RPL10A|RPL23A|RPL7|RPL24
RNA_DEGRADATION	1	1	-0.176	NA	0	55	EXOSC5|EXOSC3|CNOT4|SKIV2L|EXOSC10|EXOSC6|ENO3|LSM7|LSM3|EXOSC1|LSM2|LSM6|CNOT9|EXOSC2|LSM4|TENT4A|LSM8|MPHOSPH6|PAPOLG|EXOSC7|EDC3|CNOT6|LSM5|EXOSC8|DCP2|C1D|CNOT3|PARN|MTREX|PATL1|LSM1|WDR61|CNOT7|TTC37|DDX6|CNOT1|HSPA9|CNOT10|EXOSC9|PAPOLA|ZCCHC7|XRN2|CNOT8|DCP1A|EDC4|XRN1|DCP1B
RNA_POLYMERASE	1	1	-0.249	NA	0	26	ZNRD1|POLR3A|POLR3F|POLR2I|POLR2L|POLR1A|POLR2F|POLR3GL|POLR2C|POLR2A|POLR2E|POLR2B|POLR2G|POLR3H|POLR3C|POLR1D|POLR2D|POLR3B|POLR2H|POLR3D|POLR2K|POLR1C|POLR3K
DNA_REPLICATION	1	1	-0.225	NA	0	34	POLA2|RPA3|RFC2|POLE|RFC5|FEN1|MCM2|RNASEH2C|MCM7|LIG1|RNASEH2A|MCM4|RPA1|PRIM2|SSBP1|RFC3|POLD1|POLA1|MCM5|RPA2|POLD3|POLD2|PRIM1|MCM6|POLD4|POLE2|DNA2|MCM3|POLE3|RFC1|RFC4|PCNA|RNASEH2B
SPLICEOSOME	1	1	-0.226	NA	0	116	XAB2|HSPA6|SNRPC|SRSF2|SF3B5|SNRPE|SNRPD2|LSM7|LSM3|LSM2|SNRPG|SNRPB2|DDX39B|SRSF6|SNRNP40|LSM6|HNRNPC|AQR|SNRPA|SRSF9|DHX38|TRA2A|DDX42|SF3A2|HNRNPA3|SNRPF|SART1|U2AF2|LSM4|CDC5L|LSM8|HNRNPM|SNRPA1|SF3B6|SRSF1|SNRNP70|SNRNP200|SRSF5|PRPF8|SF3B2|HNRNPK|CTNNBL1|CHERP|SF3B4|RBM8A|SF3A3|SNU13|SF3A1|CWC15|PRPF38B|U2SURP|PRPF38A|LSM5|SF3B3|SNRPD1|PHF5A|RBM25|NCBP2|WBP11|PRPF19|CRNKL1|SMNDC1|TRA2B|PLRG1|TCERG1|PUF60|PQBP1|ACIN1|DDX5|SF3B1|ALYREF|DHX8|RBM17|HNRNPA1|HSPA1L|SRSF3|BUD31|BCAS2|HNRNPU|PCBP1|PRPF40A|PRPF6|TXNL4A|SNW1|EFTUD2|RBMX|SRSF7|EIF4A3|PRPF4|PPIH|SRSF8|NCBP1|ZMAT2|CCDC12|PRPF18|DHX15|THOC1|PPIL1|DHX16|HSPA8|THOC2|SRSF10|DDX23|DDX46|SRSF4|USP39|SLU7|PRPF3|SYF2|RBM22|SNRNP27
PROTEASOME	1	1	-0.314	NA	0	39	PSMA1|PSMA3|PSMA7|PSMB1|PSMB3|PSMA6|PSMB4|PSMA4|PSMC6|PSMD4|PSMD7|PSMB2|POMP|PSMD12|PSME4|PSMA5|PSMC5|PSMD6|PSMB10|PSMD3|PSME2|PSMD14|PSMD8|PSME3|PSMD13|PSMB7|PSMB8|PSMC2|PSMB6|PSMD11|PSMC1|PSMC3|PSMB5|PSMD1|PSME1
HOMOLOGOUS_RECOMBINATION	1	1	-0.241	NA	0	26	RPA3|NBN|TOP3B|RAD51D|MUS81|RAD52|RAD51B|XRCC3|RPA1|SSBP1|POLD1|RPA2|POLD3|MRE11|EME1|XRCC2|POLD2|TOP3A|BRCA2|POLD4|RAD51C|RAD51|RAD50|BLM|RAD54L
UBIQUITIN_MEDIATED_PROTEOLYSIS	1	1	0.154	0.555	200	116	MID1|UBE2J1|MAP3K1|UBE2E2|NEDD4L|SYVN1|NEDD4|MDM2|TRIM32|DDB2|PML|UBA7|UBE2C|UBE2F|FBXO4|KLHL9|UBE2L6|SKP2|CDC20|CBLB|CUL4B|UBE2H|BRCA1|UBE2Q2|BIRC2|CUL4A|TRIM37|CUL5|UBE2E1|UBA1|WWP1|SMURF2|UBE3C|CUL7|FBXW7|HERC4|SIAH1|CBL|WWP2|ERCC8|CDC34|PIAS2|UBE2D1|UBA6|XIAP|UBE2D2|ITCH|CUL1|UBE3B|UBE4A|UBA2|CUL2|PPIL2|TRAF6|CDC27|UBR5|UBE2Z|PIAS1|COP1|UBA3|VHL|UBE2Q1|UBE2O|STUB1|UBE2I|UBOX5|ELOC|CDC16|HUWE1|UBE2S|PIAS3|UBE2G1|BTRC|RCHY1|UBE2R2|KEAP1|UBE2J2|CDC26|ANAPC10|PRPF19|UBE3A|UBE2W
PARKINSONS_DISEASE	1	1	-0.0997	NA	0	90	NDUFS8|MT-CO3|ATP5F1B|MT-CO2|MT-ND2|ATP5F1C|ATP5PO|NDUFV1|MT-ND3|ATP5F1E|MT-ATP8|ATP5PB|MT-ND6|ATP5PD|UQCRQ|NDUFB7|UQCRH|ATP5F1A|HTRA2|UBE2L3|NDUFS3|ATP5PF|NDUFB4|UQCRFS1|NDUFS6|MT-ND5|UQCRC2|COX7A2|NDUFA10|NDUFA2|NDUFS1|NDUFA3|NDUFS7|MT-CO1|COX7C|NDUFC2|NDUFA9|NDUFC1|NDUFB9|COX5B|NDUFB10|NDUFS4|UQCRC1|COX6B1|VDAC2|NDUFS2|UQCR10|SDHC|NDUFV2|ATP5F1D|UBE2G2|SLC25A5|COX5A|NDUFA5|COX7A2L|NDUFS5|VDAC3|COX6C|CYCS|SDHB|PARK7|NDUFB8|COX4I1|COX7B|UQCRB|NDUFAB1|UBE2J2|NDUFA4|NDUFB3|UBE2G1|UCHL1|SDHA|NDUFA8|NDUFB6
HUNTINGTONS_DISEASE	1	1	0.141	0.51	200	132	PLCB1|GNAQ|HIP1|SLC25A4|TAF4B|ITPR1|APAF1|PLCB2|PPID|IFT57|DNAL4|BBC3|DLG4|CASP9|HDAC1|PLCB3|CASP3|BAX|SOD2|SP1|CASP8|CREBBP|CREB3L2|GPX1|HDAC2|NDUFA6|TBPL1|AP2A2|AP2A1|TAF4|CLTB|DCTN2|DNAL1|RCOR1|TBP|VDAC1|NDUFV3
